input,output
pp,pulang pergi
ppa,apa
prasmul,perasaan saja
prcya,percaya
prg,pergi
priksa,periksa
prnh,pernah
pro,profesional
psen,pesan
psn,pesan
pst,pasti
pst,pesat
psti,pasti
pswt,pesawat
puanas,panas
pw,posisi nyaman
qmo,kamu
qmu,kamu
qt,kita
rakor,rapat koordinasi
rame,ramai
ranmor,kendaraan bermotor
raskin,rakyat miskin
re,reply
recokin,ganggu
red,redaksi
ref,referensi
reg,register
rehab,rehabilitasi
rejeki,rezeki
rempong,repot
rempong,sulit
renstra,rencana strategis
repp,balas
reskrim,reserse kriminal
restik,reserse narkotika
rhs,Rahasia
rhs,rahasia
ri,republik indonesia
rmbt,rambut
rmh,rumah
rofl,rolling on the floor laughing
rotfl,tertawa
ru,baru
rudal,peluru kendali
ruko,rumah toko
rusun,rumah susun
rusunawa,rumah susun sewa
rutan,rumah tahanan
ruz,terus
s4,sempat
sabeb,bebas
saia,saya
saiank,sayang
salting,salah tingkah
saltum,salah kostum
sampe,sampai
sampeyan,anda
samsek,sama sekali
sapa,siapa
sapose,siapa
satkorlak,satuan koordinator pelaksana
satpam,satuan pengamanan
say,sayang
sbb,sebagai berikut
sbg,sebagai
sbh,sebuah
sblm,sebelum
sbnrny,sebenarnya
scara,secara
schedule,jadwal
scr,secara
sdg,sedang
sdgkn,sedangkan
sdh,sudah
sdkt,sedikit
sdngkn,sedangkan
se7,setuju
seabrek,banyak
sebelas dua belas,mirip
sekjen,sekretaris jenderal
selow,santai
sembako,sembilan bahan pokok
sempak,celana dalam
sempet,sempat
sempet2nya,sempat-sempatnya
sendratari,seni drama tari
sertijab,serah terima jabatan
sgt,sangat
sgtu,segitu
sgtuny,segitunya
sgtunya,segitunya
shg,sehingga
sidak,inspeksi mendadak
siech,sih
sieyh,sih
sikon,situasi dan kondisi
simpedes,simpanan pedesaan
sinetron,sinema elektronik
sip,ok
siramin,siramkan
sis,kakak perempuan
sj,saja
sjjurny,sejujurnya
skali,sekali
skalian,sekalian
skl,sekali
sklh,sekolah
skrg,sekarang
skt,sakit
skul,sekolah
slesai,selesai
slh,salah
sll,selalu
slm,salam
slma,selama
slmt,selamat
slsai,selesai
slt,sulit
sm,sama
smg,semoga
smga,semoga
smpt,sempat
smua,semua
smw,semua
smwny,semuanya
smwnya,semuanya
sndiri,sendiri
sng,senang
soljum,sholat jumat
somse,sombong sekali
songong,sombong
sorry,maaf
sory,maaf
sosbud,sosial-budaya
sosek,sosial-ekonomi
sospol,sosial-politik
sotoy,sok tahu
sowry,maaf
spa,siapa
spd,sepeda
sppa,siapa
sprti,seperti
spt,seperti
spy,supaya
srtfkt,sertifikat
stage,panggung
stelah,setelah
stiap,setiap
stj,setuju
stlh,setelah
stuju,setuju
subbag,subbagian
suk,masuk
sumbangin,sumbangkan
sumpek,sempit
sy,saya
sya,saya
syg,sayang
syp,siapa
t4,tempat
tabanas,tabungan pembangunan nasional
tajir,kaya
tar,nanti
tau,tahu
taun,tahun
taw,tahu
tawh,tahu
td,tadi
tdi,tadi
tdk,tidak
te2p,tetap
teh,kakak perempuan
tekor,rugi
telat,terlambat
telkom,telekomunikasi
telmi,telat berpikir
telp,telepon
temen,teman
temen2,teman-teman
tengil,menyebalkan
tengok,menjenguk
tengsin,malu
tepar,terkapar
terbitin,terbitkan
tggu,tunggu
tgl,tanggal
tgu,tunggu
thanks,terima kasih
thankz,terima kasih
thd,terhadap
thn,tahun
thx,terima kasih
tilang,bukti pelanggaran
tipi,TV
tipiwan,TvOne
tkg,tukang
tks,terima kasih
tkt,takut
tll,terlalu
tlp,telepon
tlpn,telepon
tls,tulis
tman,teman
tmbah,tambah
tmbh,tambah
tmen2,teman-teman
tmn2,teman-teman
tmpah,tumpah
tmph,tumpah
tmpt,tempat
tnda,tanda
tngu,tunggu
tnh,tanah
tnyta,ternyata
togel,toto gelap
tokai,tai
toserba,toko serba ada
tp,tapi
tpi,tapi
tpii,tapi
tq,terima kasih
trdhulu,terdahulu
trgntg,tergantung
trims,terima kasih
trm,terima
trnyt,ternyata
trs,terus
trus,terus
trutama,terutama
trz,terus
ts,penulis
tsb,tersebut
tst,tahu sama tahu
ttd,tertanda
ttg,tentang
ttp,tetap
tuch,tuh
tuh,itu
tuwh,tuh
tw,tahu
tw,tau
tyap,siap
typo,salah tulis
u,kamu
u,you
ud,sudah
uda,sudah
udah,sudah
udh,sudah
ujg,ujung
ujung2nya,ujung-ujungnya
ultah,ulang tahun
unyu,lucu
unyu,menggemaskan
uplot,unggah
utang,hutang
utk,untuk
vol,volume
wadir,wakil direktur
wagub,wakil gubernur
wamil,wajib militer
waria,wanita pria
warkop,warung kopi
warnet,warung internet
warteg,warung tegal
wartel,warung telekomunikasi
with,dengan
wk,tertawa
wkt,waktu
wkwk,tertawa
woles,santai
wtf,apa-apaan
wtf,what the fuck
wth,what the hell
xixixi,tertawa
ya,iya
yad,yang akan datang
yap,iya
yapz,iya
yaudah,ya sudah
yauwda,ya sudah
yawdah,ya sudah
ybs,yang bersangkutan
yg,yang
yi,yaitu
yl,yang lain
yng,yang
yntkts,iya tidak tahu kok tanya saya
yo,iya
yoha,iya
yowes,ya sudah
ytta,yang tahu tahu aja
yuk,ayo
yup,iya
ywdh,ya sudah
